Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
26-04-2023 13:14,47.0N,10.7W,29.6,16.2,-15.6,-3.8,-1.8,2.40E+10,0.086
15-04-2023 08:22,20.1S,36.0E,41.4,17.2,1.6,-14.7,8.8,3.10E+12,6.3
06-04-2023 14:47,57.4N,109.9E,31.2,22.1,8.6,3.6,-20,7.20E+10,0.23
01-04-2023 00:02,16.8S,76.0E,61.8,46.4,21.4,-40.6,7.1,2.40E+10,0.086
20-03-2023 06:53,23.7S,132.6E,34.8,,,,,2.70E+10,0.095
11-03-2023 08:21,74.7S,79.5E,32,,,,,4.44E+11,1.1
03-03-2023 02:53,40.1N,87.4E,32,25.3,16.1,-19.3,2.6,6.40E+10,0.2
19-02-2023 06:15,7.9N,109.9E,37,23,-1.1,-22.9,1.2,2.03E+11,0.57
14-02-2023 22:55,48.0S,53.3W,32.3,15.6,-15.1,3.7,-0.9,1.84E+11,0.52
02-02-2023 20:49,26.2S,143.1W,33,,,,,3.00E+10,0.1
22-01-2023 17:11,3.5N,76.2W,61,,,,,2.00E+10,0.073
17-01-2023 06:56,33.1N,173.7W,38,14.2,7.8,-5.6,-10.5,2.90E+10,0.1
11-01-2023 23:59,31.5N,18.6E,33.5,17.5,-16.1,4.5,-5.2,4.60E+10,0.15
09-01-2023 01:17,45.7S,135.0E,27,16.7,2.3,-0.4,16.5,9.00E+10,0.28
02-01-2023 16:38,1.5N,129.0E,44.6,,,,,5.00E+10,0.16
29-12-2022 06:52,42.3N,92.9E,32.3,16.4,0.2,-12.3,-10.9,6.20E+10,0.2
13-12-2022 17:26,32.75N,2.1W,20,18.7,-5.7,14,11,6.20E+10,0.2
20-11-2022 15:35,17.0S,95.7W,50,,,,,3.30E+10,0.11
20-11-2022 13:53,15.0N,109.7W,26,21.7,9,12.3,15.4,3.40E+10,0.12
08-11-2022 08:54,77.2N,93.2W,41,,,,,3.90E+10,0.13
28-10-2022 17:40,7.1N,118.9W,45,,,,,4.70E+10,0.16
20-10-2022 20:55,26.6N,165.1E,65.6,,,,,4.70E+10,0.16
15-09-2022 02:49,22.7N,97.6E,31.5,,,,,2.70E+10,0.095
14-09-2022 23:31,40.8N,63.4E,35.8,17.4,-13.9,-4.3,9.5,3.20E+10,0.11
04-09-2022 03:54,20.0N,165.9E,14,21.9,18.4,-11.4,-3.5,2.40E+10,0.086
21-08-2022 16:35,6.3S,51.5E,37,,,,,2.10E+10,0.076
14-08-2022 07:39,35.0S,78.4E,55.5,,,,,4.68E+11,1.2
28-07-2022 01:36,6.0S,86.9W,37.5,29.9,-17.1,23.5,-7.2,2.51E+11,0.68
27-07-2022 04:41,44.8S,2.9W,38.1,19.8,-6.1,17.7,6.5,5.24E+11,1.3
25-07-2022 07:28,40.5S,76.6E,33.6,15.2,-2.1,-2.2,14.9,8.70E+10,0.27
22-07-2022 00:16,23.3S,20.5W,32.7,17.4,-7.1,15.5,-3.3,6.00E+10,0.19
20-07-2022 10:56,43.0S,59.6W,32.2,16,-0.9,15.6,-3.6,8.60E+10,0.27
08-07-2022 01:36,21.3N,130.1E,22,20.2,17.9,-4.1,-8.3,2.70E+10,0.095
07-07-2022 01:49,41.7S,175.0E,35,,,,,7.34E+11,1.8
30-06-2022 04:02,31.9S,12.9W,56,,,,,9.10E+10,0.28
26-06-2022 20:16,69.7S,164.7E,19,20.1,0.2,-18.3,8.2,6.50E+10,0.21
14-06-2022 13:12,4.6N,39.1W,61,,,,,9.10E+10,0.28
07-06-2022 22:53,40.8N,127.1W,41.1,24.9,23.1,2,-9.2,3.10E+10,0.11
24-05-2022 02:38,16.3N,30.4W,39.8,,,,,1.26E+11,0.37
21-04-2022 22:15,55.5S,68.9W,28.4,12.7,-4.2,11.6,3.2,3.90E+10,0.13
12-04-2022 21:59,8.2S,57.8E,23.8,20.6,-19.3,-6.3,3.6,5.20E+10,0.17
04-04-2022 00:30,3.2S,64.3W,31.5,19.7,-17.6,5.3,-7.2,2.70E+10,0.095
30-03-2022 18:19,45.9S,171.4W,74,,,,,2.00E+10,0.073
28-03-2022 10:20,7.7S,74.3E,29,19.6,-16.6,-10.4,0.1,3.78E+11,0.98
24-03-2022 03:43,1.9N,20.6W,56.7,18.2,-12.4,11.4,6.9,7.60E+10,0.24
11-03-2022 21:22,70.0N,9.1W,33.3,17.2,-11.5,-5.3,-11.7,1.85E+12,4
06-03-2022 15:06,4.1S,99.5W,,,,,,2.00E+10,0.073
03-03-2022 00:03,50.4S,45.9E,72,,,,,2.10E+10,0.076
17-02-2022 12:08,33.5N,38.9W,41,,,,,2.70E+10,0.095
17-02-2022 03:53,5.4N,56.4E,32.4,21.5,-4.4,-19.6,-7.7,6.50E+10,0.21
07-02-2022 20:06,28.7S,11.4E,26.5,13.1,-8.9,-7.3,-6.3,3.48E+12,7
03-02-2022 19:50,13.3S,142.2E,36,22.8,17.6,9.7,-10.8,1.52E+11,0.44
